titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
Ankermann Gaming Business V2 (4260561747202),PC gaming,Ankermann Gaming Business,Intel Core i7-10700F,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Comet Lake-S,DDR4,8.0,NVIDIA GeForce RTX 3060,Ethernet 10/100/1000,Desktop,torre,"empresas, gaming",Socket 1200,999.0,1059.0,1029.0,29.4,16.8,16.0,32.0,3200.0,1000.0,4.8,29.0,2.9,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
Minisforum MS-01,Mini PC,Minisforum,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,469.99,903.0,686.5,29.4,16.8,18.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Apple Mac mini M4 [2024]
MCYT4D/A",Mini PC,Apple Mac Mini,Apple M4,disco duro SSD,Apple,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,10.0,Apple M4 10-Core GPU,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,1178.48,1178.48,1178.48,12.7,12.7,18.0,24.0,3200.0,512.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Acer Predator Orion 3000,PC gaming,Acer Predator,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,semitorre,principiante,Socket 1700,866.0,2299.0,1582.5,35.0,16.3,18.0,16.0,3200.0,1000.0,4.7,34.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Geekom A8,Mini PC,Geekom,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,AMD Radeon 780M,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,699.0,2234.2,1466.6,29.4,16.8,18.0,32.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Blackview MP100
R7-5700U + 32GB + 1TB",Mini PC,Blackview,AMD Ryzen 7 5700U,disco duro M.2 SSD,Intel,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket FP6,379.0,418.99,399.0,12.7,12.7,8.0,32.0,3200.0,1000.0,4.3,4.0,1.8,15.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Cubi N ADL
ADL-047BES",Mini PC,MSI Cubi,Intel N100,disco duro SSD,Intel,Intel N,1.0,FreeDOS,Raptor Lake,DDR4,4.0,Intel Iris Xe Graphics,Ethernet 10/100/1000,Desktop,nettop,bricolaje,Socket 1700,193.73,209.15,201.44,12.4,12.4,6.0,16.0,3200.0,1000.0,3.4,5.0,2.8,6.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Dell Optiplex 7020 SFF,PC de oficina,Dell OptiPlex,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,601.78,1564.72,1083.25,29.28,9.26,18.0,16.0,3200.0,512.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Zone Evil ZON5700X_32G_1_RTX_4060_BK,PC gaming,Zone Evil,AMD Ryzen 7 5700X,disco duro M.2 SSD,AMD,Ryzen 7,1.0,FreeDOS,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,911.85,928.28,920.07,42.1,21.0,18.0,32.0,3200.0,1000.0,4.7,49.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Captiva Highend Gaming R72,PC gaming,Captiva Highend Gaming,Unknown,disco duro SSD,AMD,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,3643.54,3643.54,3643.54,29.4,16.8,18.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST Gaming PC Ryzen 7 5700X RTX 4070 Ti Super 32GB SSD 2TB M.2 W11,PC gaming,VIST Gaming PC,AMD Ryzen 7 5700X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,8.0,NVIDIA GeForce RTX 4070 Ti Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,1663.9,1663.9,1663.9,29.4,16.8,32.0,32.0,3200.0,2000.0,4.6,29.0,3.4,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Medion Akoya T80,PC multimedia,Medion Akoya,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),gaming,Socket 1700,452.68,743.94,598.31,30.2,9.7,18.0,16.0,3200.0,512.0,4.7,27.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Lenovo IdeaCentre 5 14IAB7,PC multimedia,Lenovo IdeaCentre,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,556.87,1139.99,848.43,28.8,14.5,18.0,16.0,3200.0,1000.0,4.7,34.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
ASUS ROG NUC 14,Unknown,ASUS ROG,Unknown,disco duro M.2 SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Meteor Lake,DDR5,16.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket FCBGA2049,1766.66,2630.69,2198.68,18.0,27.0,24.0,16.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
HP Pro Mini 400 G9,Mini PC,HP Pro,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,515.0,1376.67,945.84,17.5,17.7,18.0,16.0,3200.0,1000.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Minisforum UM790 Pro,Unknown,Minisforum,AMD Ryzen 9 7940HS,disco duro SSD,AMD,Ryzen 9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon 780M,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,449.0,700.0,574.5,12.6,13.0,18.0,16.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Apple Mac Studio 2023,PC multimedia,Apple Mac Studio,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500/5000/10000,Desktop,minitorre,gaming,Socket 1700,2136.97,5930.79,4033.88,19.7,19.7,18.0,16.0,3200.0,1000.0,4.7,9.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI MAG Infinite S3
14NUC5-1624ES",PC gaming,MSI MAG,Intel Core i5-14400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Raptor Lake Refresh,DDR5,10.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1199.0,1199.0,1199.0,29.4,16.8,20.0,16.0,5600.0,1000.0,4.7,29.0,2.5,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
Dell OptiPlex 7020 MFF,PC de oficina,Dell OptiPlex,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),empresas,Socket 1700,449.9,1244.34,847.12,17.8,3.6,18.0,16.0,3200.0,512.0,4.7,18.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Lenovo Legion 5i Tower Gen 7,PC gaming,Lenovo Legion,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR5,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,849.0,1498.99,1173.99,45.6,18.5,18.0,16.0,4800.0,1000.0,4.7,45.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
ASUS NUC 13 Pro Slim,Unknown,ASUS NUC,Unknown,disco duro M.2 SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,349.0,1196.99,773.0,11.2,11.7,18.0,16.0,3200.0,1000.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP ProDesk 400 G9
99Q51ET",PC de oficina,HP ProDesk,Intel Core i3-14100,disco duro SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,4.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,704.83,1028.56,866.69,30.8,15.5,12.0,16.0,4800.0,512.0,4.7,33.0,3.5,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
Minisforum UM690S,Mini PC,Minisforum,AMD Ryzen 9 6900HX,disco duro SSD,AMD,Ryzen 9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,AMD Radeon 680M,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,355.0,469.99,412.5,12.7,12.8,18.0,16.0,3200.0,1000.0,4.7,4.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Apple Mac mini M2 (2023)
MMFJ3Y/A",Mini PC,Apple Mac Mini,Apple M2,disco duro SSD,Apple,Apple M,1.0,macOS Ventura,Raptor Lake,DDR4,8.0,Apple M2 GPU,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),gaming,Socket 1700,644.99,742.37,693.68,19.7,19.7,18.0,8.0,3200.0,256.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Lenovo IdeaCentre Gaming 5 17IAB7,PC gaming,Lenovo IdeaCentre,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,637.26,1601.79,1119.53,30.4,17.0,18.0,16.0,3200.0,1000.0,4.7,37.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS ROG Strix G13CHR
G13CHR-71470F0530",PC gaming,ASUS ROG,Intel Core i7-14700F,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR5,20.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,1349.0,1349.0,1349.0,43.0,18.0,33.0,32.0,3200.0,1000.0,5.4,42.0,2.1,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Z1 G9 Tower
865K8ET",Workstation,HP,Intel Core i9-13900,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,"empresas, gaming, principiante, profesional",Socket 1700,1193.98,1698.0,1445.99,30.8,15.5,18.0,32.0,4800.0,1000.0,4.7,33.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Lenovo ThinkCentre M75s Gen2 SFF,PC de oficina,Lenovo ThinkCentre,Unknown,disco duro SSD,AMD,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,591.76,1085.08,838.42,29.0,9.25,18.0,16.0,3200.0,1000.0,4.7,34.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS NUC 14 Pro+
Kit ( 90AR0051-M00010)",Unknown,ASUS NUC,Intel Core Ultra 5 125H,disco duro M.2 SSD,Intel,Intel Core Ultra 5,0.0,ninguno,Meteor Lake,DDR5,14.0,Intel Arc Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,bricolaje,Socket FCBGA2049,563.75,733.45,648.6,11.2,14.4,18.0,16.0,3200.0,1000.0,4.5,4.0,1.2,28.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"HP Slim S01
S01-pF3022ns",PC multimedia,HP Slim,Intel Core i3-13100,disco duro SSD,Intel,Core i3,1.0,FreeDOS,Palomino,DDR4,4.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,desktop,principiante,Socket 1700,477.01,477.01,477.01,27.0,9.5,12.0,8.0,3200.0,512.0,4.5,30.0,3.4,58.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
ASRock DeskMeet X600,Unknown,ASRock DeskMeet,Unknown,disco duro SSD,AMD,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,barebone,gaming,Socket AM5,234.83,267.74,251.29,23.6,16.8,18.0,16.0,3200.0,1000.0,4.7,22.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Apple Mac mini M4 [2024]
Pro [2024] MCX44T/A",Mini PC,Apple Mac Mini,Apple M4 Pro,disco duro SSD,Apple,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,12.0,Apple M4 Pro 16-Core GPU,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,1845.19,2351.58,2098.39,12.7,12.7,18.0,16.0,3200.0,512.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Cubi 12M
12M-211BES",Mini PC,MSI Cubi,Intel Core i5-1235U,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500/5000/10000,Desktop,cubo,"empresas, principiante",Socket 1700,329.95,467.91,398.93,12.4,12.4,12.0,64.0,3200.0,1000.0,4.7,5.0,4.4,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Lenovo IdeaCentre 5 14IAB7
90T3003DES",PC multimedia,Lenovo IdeaCentre,Intel Core i5-12400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,6.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,577.0,857.57,717.29,28.8,14.5,18.0,16.0,3200.0,512.0,4.4,34.0,2.5,117.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
ASUS ExpertCenter D5 SFF,PC de oficina,ASUS ExpertCenter,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,503.92,1196.38,850.15,32.0,9.4,18.0,16.0,3200.0,1000.0,4.7,31.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
HP Elite SFF 800 G9,PC multimedia,HP Elite,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,"empresas, principiante, profesional",Socket 1700,899.65,2466.75,1683.2,30.8,33.8,18.0,16.0,3200.0,1000.0,4.7,10.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Acer Veriton X2 VX2715G,Unknown,Acer Veriton,Intel Core i5-13400,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,10.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,608.48,1019.85,814.16,29.4,16.8,20.0,8.0,4800.0,512.0,4.6,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Intel NUC 12,Mini PC,Intel NUC,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,barebone,gaming,Socket 1700,372.6,3571.56,1972.08,35.7,12.0,18.0,16.0,3200.0,1000.0,4.7,18.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina ENDORFY 5700X / 32GB / 1TB / RX7800XT / 750W,PC gaming,Actina ENDORFY,AMD Ryzen 7 5700X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,8.0,AMD Radeon RX 7800 XT,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,1157.85,1958.58,1558.21,29.4,16.8,32.0,32.0,3200.0,1000.0,4.6,29.0,3.4,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Hyper Byte Office PC i7 / 32GB / 1TB / Win 11 Pro,PC de oficina,Hyper Byte Office,Unknown,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR3,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,359.9,359.9,359.9,29.4,16.8,18.0,32.0,3200.0,1000.0,3.9,29.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
Beelink SER8,Mini PC,Beelink,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,699.0,899.0,799.0,29.4,16.8,18.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Ankermann Business V2 PC (4260561747165),PC de oficina,Ankermann Business,Intel Core i5-7500,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Kaby Lake-S,DDR4,4.0,Intel UHD Graphics 630,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,379.0,669.0,524.0,29.4,16.8,6.0,32.0,3200.0,1000.0,3.8,29.0,3.4,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Zotac ZBOX MAGNUS ONE ECM74060C,Unknown,Zotac ZBOX,Intel Core i7-10700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Comet Lake,DDR4,8.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1200,792.05,1138.44,965.25,26.6,12.6,16.0,16.0,3200.0,1000.0,4.8,24.0,2.9,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
VIST Gaming PC Ryzen 7 5700X RTX 4060Ti 32GB SSD 1TB WIFI W11,PC gaming,VIST Gaming PC,AMD Ryzen 7 5700X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,8.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,1048.9,1048.9,1048.9,29.4,16.8,32.0,32.0,3200.0,1000.0,4.6,29.0,3.4,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Geekom Air12 Lite (N100 8GB + 256GB),Mini PC,Geekom,Intel N100,disco duro M.2 SSD,Intel,Intel N,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,239.0,259.99,249.5,11.55,13.55,6.0,8.0,3200.0,256.0,4.7,3.0,3.4,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
PcCom Ready Ryzen 5 5600X 16GB RAM 1TB SSD,PC gaming,PcCom Ready Ryzen,AMD Ryzen 5 5600X,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,6.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,919.0,919.0,919.0,29.4,16.8,32.0,16.0,3200.0,1000.0,4.6,29.0,3.7,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Blackview MP100,Mini PC,Blackview,AMD Ryzen 7 5700U,disco duro M.2 SSD,Intel,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket FP6,339.0,418.99,379.0,12.7,12.7,8.0,32.0,3200.0,1000.0,4.3,4.0,1.8,15.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Minisforum UM790 Pro
B0CC25XTBF",Unknown,Minisforum,AMD Ryzen 9 7940HS,disco duro SSD,AMD,Ryzen 9,1.0,ninguno,Raptor Lake,DDR4,8.0,AMD Radeon 780M,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,449.0,449.0,449.0,12.6,13.0,16.0,16.0,3200.0,1000.0,5.2,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Zone Evil ZONI5_16G_1_RTX_4060TI_BK,PC gaming,Zone Evil,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,921.22,942.02,931.62,42.1,21.0,18.0,16.0,3200.0,1000.0,4.7,49.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Deep Gaming Nexus
83NEXR5016STXXS",PC gaming,Deep Gaming Nexus,AMD Ryzen 5 5600G,disco duro SSD,AMD,Ryzen 5,1.0,ninguno,Raptor Lake,DDR4,6.0,AMD Radeon RX Vega 7,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,457.0,491.0,474.0,39.0,21.0,16.0,16.0,3200.0,1000.0,4.4,43.0,3.9,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell OptiPlex 7020 MFF
CF0NG",PC de oficina,Dell OptiPlex,Intel Core i5-14500,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,14.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),empresas,Socket 1700,649.9,915.18,782.54,17.8,3.6,24.0,16.0,3200.0,512.0,5.0,18.0,2.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
GigaByte BRIX Extreme,Unknown,GigaByte BRIX,Unknown,disco duro SSD,Intel,Unknown,0.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,torre,bricolaje,Socket 1700,242.43,846.8,544.62,13.42,13.91,18.0,16.0,3200.0,1000.0,4.7,4.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Huawei MateStation S,PC multimedia,Huawei MateStation S,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 10 Home,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,330.0,450.0,390.0,31.6,9.3,18.0,8.0,3200.0,256.0,4.7,29.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"MSI Cubi 12M
5 12M-212BES",Mini PC,MSI Cubi,Intel Core i3-1215U,disco duro SSD,Intel,Core i3,1.0,ninguno,Raptor Lake,DDR4,8.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500/5000/10000,Desktop,cubo,"empresas, principiante",Socket 1700,229.95,327.6,278.77,12.4,12.4,18.0,64.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Lenovo ThinkCentre neo 50s,PC de oficina,Lenovo ThinkCentre,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,489.46,887.07,688.26,30.8,10.0,18.0,16.0,3200.0,1000.0,4.7,27.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS NUC 13 Pro Slim
Kit (90AR0031-M00040)",Unknown,ASUS NUC,Intel Core i3-1315U,disco duro M.2 SSD,Intel,Core i3,0.0,ninguno,Raptor Lake,DDR4,6.0,Intel UHD Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,349.0,391.19,370.1,11.2,11.7,10.0,16.0,3200.0,1000.0,4.5,3.0,1.2,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
HP M01,PC multimedia,HP Pavilion,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,minitorre,gaming,Socket 1700,421.85,2236.26,1329.06,30.3,15.5,18.0,16.0,3200.0,1000.0,4.7,33.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Acer Predator Orion 3000
DG.E2WEB.01B",PC gaming,Acer Predator,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,ninguno,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 3070,Ethernet 10/100/1000,Desktop,semitorre,principiante,Socket 1700,866.0,1049.0,957.5,35.0,16.3,18.0,16.0,3200.0,1024.0,4.4,34.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
