titulo,ofertas,tipo_de_producto,serie,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_tecnologia,pantalla_luminosidad_cd_m2,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_autonomia_de_la_bateria,alimentacion_vatios_hora,alimentacion,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,medidas_y_peso_profundidad,medidas_y_peso_altura,medidas_y_peso_ancho,medidas_y_peso_peso,otras_caracteristicas_equipamiento,otras_caracteristicas_seguridad_integrada,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,pantalla_resolucion,pantalla_densidad_de_pixeles,pantalla_tasa_de_actualizacion_de_imagen,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,grafica_memoria,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,procesador_cache,ram_memoria,ram_tipo,ram_frecuencia_de_la_memoria,disco_duro_capacidad_de_memoria_ssd,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,procesador_numero_nucleos,procesador_frecuencia_de_reloj,procesador_frecuencia_turbo_max,procesador_potencia_max_de_diseno_termico_tdp,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,ram_extension_de_memoria_maxima,grafica_tarjeta,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,alimentacion_voltaje_de_salida,alimentacion_intensidad_de_corriente,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,alimentacion_capacidad_de_la_bateria,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,disco_duro_capacidad_del_disco_duro,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,disco_duro_velocidad_de_rotacion_del_disco_duro,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,grafica_resolucion_externa_std,camara_resolucion_pulgadas,teclado_numero_de_teclas_horas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pulgadas,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,Categoria_General
HP ZBook Studio G11,38.0,Portátil multimedia,HP ZBook,16.0,40.64,,,,SSD,Thunderbolt 4,integrado,"Bluetooth, wifi",Bluetooth 5.4,integrada,compatible con HD,1280 x 720 píxeles,,,,4.0,,,86.0,150 W,,,con tapa,"24,2 cm",19 mm,"35,6 cm","1,74 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11be,,,,,,1.0,NVIDIA,,Windows 11 Professional,MicroSD,altavoces estéreo,16:10,,,,32 GB RAM,,,1.000 GB,,6.0,,,,,,,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2292.64,5337.01,3814.82,,1280x720,,,150.0,24.2,19.0,35.6,1.74,,,,,32.0,,1000.0,,,,,,,,,,,Laptop
"Samsung Galaxy Book 4
NP754XGK-KG1ES",14.0,Portátil multimedia,Samsung Galaxy Book,15.6,39.624,Full HD,300.0,Intel Core 5 120U,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,15 h,54.0,45 W,,,con tapa,"22,9 cm",15 mm,"35,7 cm","1,55 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core 5,1.0,Intel,memoria compartida,Windows 11 Professional,MicroSD,,16:9,Raptor Lake-U Refresh,L3,12 MB,8 GB RAM,LPDDR4X,,512 GB,,,gris,,10.0,"0,9 GHz",5 GHz,15 W,,64.0,,16 GB,Intel UHD Graphics,,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,658.72,989.94,824.33,,1280x720,,15.0,45.0,22.9,15.0,35.7,1.55,1920x1080,,,12.0,8.0,,512.0,4.0,0.9,5.0,15.0,16.0,,,,,,Laptop
Acer Aspire Go 15 AG15-31,9.0,Portátil multimedia,Acer Aspire,15.6,39.624,Full HD,,Intel Core i3-N305,SSD,HDMI,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,,48.5,65 W,,,con tapa,24 cm,19 mm,"36,3 cm","1,75 kg",,,,2024.0,IEEE 802.11ax,,,60 Hz,Intel,Intel Core i3,1.0,,memoria compartida,Windows 11 Home,,altavoces estéreo,,Alder Lake-N,L3,6 MB,8 GB RAM,LPDDR5,,512 GB,,3.0,plateado,,8.0,"1,8 GHz","3,8 GHz",15 W,,64.0,,16 GB,Intel UHD Graphics,,ninguno,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,388.24,485.47,436.86,,1280x720,,,65.0,24.0,19.0,36.3,1.75,,,60.0,6.0,8.0,,512.0,,1.8,3.8,15.0,16.0,,,,,,Laptop
"Medion Erazer Major X20 2024
30037655",4.0,Portátil gaming,Medion Erazer,16.0,40.64,,,Intel Core i9-14900HX,SSD,,3 en 1,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,,,,,con tapa,"26,9 cm",30 mm,"35,7 cm","2,37 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2024.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core i9,1.0,NVIDIA,8.192 MB,Windows 11 Home,,altavoces estéreo,16:10,Raptor Lake-HX Refresh,L3,36 MB,16 GB RAM,DDR5,,1.000 GB,teclado iluminado,4.0,negro,,24.0,"1,6 GHz","5,6 GHz",55 W,GDDR6,64.0,,32 GB,NVIDIA GeForce RTX 4070,,,,,teclado numérico,,,,,,,2x SO-DIMM,,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,1731.87,2499.0,2115.43,,1920x1080,,,,26.9,30.0,35.7,2.37,2560x1600,,,36.0,16.0,,1000.0,,1.6,5.6,55.0,32.0,,,,,,Laptop
"MSI Sword 16 HX B14V
B14VFKG-054XES",2.0,Portátil gaming,MSI Sword,16.0,40.64,FHD+,,Intel Core i9-14900HX,PCIe SSD,,ninguno,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,30 fps,,teclado gamer,,,2.0,,,65.0,200 W,,,con tapa,"26,6 cm",27 mm,"35,9 cm","2,3 kg","micrófono integrado, webcam, altavoces estéreo, USB-C","bloqueo Kensington, tapa webcam",,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,144 Hz,Intel,Intel Core i9,1.0,NVIDIA,8.192 MB / 8 GB,Free DOS,,altavoces estéreo,16:10,Raptor Lake,L3,36 MB,32 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,4.0,negro,,24.0,"1,6 GHz","5,6 GHz",55 W,GDDR6,,,96 GB,NVIDIA GeForce RTX 4060,ninguna,ninguno,,,teclado numérico,IPS,Gigabit-LAN,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,Intel HM770,"MSI App Player, MSI Center",,,,,,,,,,,,,,,,,Laptop,1548.99,1548.99,1548.99,8192x4608,,,,200.0,26.6,27.0,35.9,2.3,1920x1200,,144.0,36.0,32.0,5600.0,1000.0,4.0,1.6,5.6,55.0,96.0,,,,,,Laptop
"GigaByte G6X
9KG-43ES854SD",25.0,Portátil gaming,,16.0,40.64,WUXGA,,Intel Core i7-13650HX,SSD,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,,73.0,180 W,,,con tapa,"25,9 cm",29 mm,"36,1 cm","2,5 kg","webcam, altavoces estéreo, USB-C",,,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,165 Hz,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,Free DOS,,,16:10,Raptor Lake,L3,24 MB,16 GB RAM,DDR5,4.800 MHz,1.000 GB,teclado iluminado,,negro,,14.0,"1,9 GHz","4,9 GHz",55 W,GDDR6,,,32 GB,NVIDIA GeForce RTX 4060,,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,2x SO-DIMM,,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,885.96,1367.93,1126.95,,1280x720,,,180.0,25.9,29.0,36.1,2.5,1920x1200,,165.0,24.0,16.0,4800.0,1000.0,4.0,1.9,4.9,55.0,32.0,,,,,,Laptop
"ASUS Vivobook 17 F1704
F1704VA-AU234",18.0,Portátil multimedia,ASUS Vivobook,17.3,43.942,Full HD,250.0,Intel Core i7-1355U,,HDMI,ninguno,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,,teclado tipo chicle,,,,ión-litio,,50.0,,,,con tapa,"25,4 cm",20 mm,"39,9 cm","2,1 kg","USB-C, altavoces estéreo, webcam","contraseña de usuario, contraseña BIOS",,2023.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i7,,Intel,memoria compartida,sin sistema operativo,,SonicMaster,16:9,Raptor Lake-U,L3,12 MB,16 GB RAM,DDR4,,1.000 GB,teclado iluminado,3.0,plateado,,10.0,"1,2 GHz",5 GHz,15 W,,,,16 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,726.8,849.53,788.16,,,,,,25.4,20.0,39.9,2.1,1920x1080,,60.0,12.0,16.0,,1000.0,,1.2,5.0,15.0,16.0,,,,,,Laptop
"Lenovo V15 G4
82YY002FSP",18.0,Portátil multimedia,,15.6,39.624,Full HD,250.0,AMD Ryzen 7 7730U,,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.1,0.9 Mpx,,,,,teclado numérico,,polímero de litio,"8,4 h",38.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,65 kg","lector de tarjetas, webcam, USB-C",,,2023.0,,1.920 x 1.080 píxeles,,,AMD,AMD Ryzen 7,1.0,AMD,memoria compartida,Windows 11 Home,,,16:9,Barcelo-R,L3,16 MB,8 GB RAM,DDR4,3.200 MHz,512 GB,,2.0,negro,,8.0,2 GHz,"4,5 GHz",15 W,,64.0,,16 GB,AMD Radeon Graphics,ninguna,ninguno,20 V,"3,25 A",teclado numérico,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,475.64,561.5,518.57,,,,8.4,65.0,23.6,20.0,35.9,1.65,1920x1080,,,16.0,8.0,3200.0,512.0,,2.0,4.5,15.0,16.0,20.0,3.25,,,,Laptop
"HP Victus 15 2023
15-fb1002ns",1.0,Portátil gaming,HP Victus,15.6,39.624,Full HD,,AMD Ryzen 5 7535HS,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,,70.0,,,,con tapa,"25,5 cm",24 mm,"35,8 cm","2,29 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,,AMD,AMD Ryzen 5,1.0,NVIDIA,4.096 MB / 4 GB,Free DOS,,,16:9,Rembrandt-R,L3,16 MB,16 GB RAM,DDR5,4.800 MHz,512 GB,teclado iluminado,,plateado,,6.0,"3,3 GHz","4,55 GHz",35 W,GDDR6,,,,NVIDIA GeForce RTX 2050,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,628.99,628.99,628.99,,1280x720,,,,25.5,24.0,35.8,2.29,1920x1080,,,16.0,16.0,4800.0,512.0,,3.3,4.55,35.0,,,,,,,Laptop
Samsung Galaxy Book 3 Ultra,8.0,Portátil multimedia,Samsung Galaxy Book,16.0,40.64,,400.0,,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,,76.0,,,,con tapa,25 cm,17 mm,"35,5 cm","1,8 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,,,,,,,NVIDIA,,,MicroSD,,16:10,,,,,,,,,,,,,,,,GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2514.0,6377.17,4445.59,,1920x1080,,,,25.0,17.0,35.5,1.8,,,,,,,,8.0,,,,,,,,,,Laptop
"Acer Aspire 3 A315-44
A315-44P-R4MV",11.0,Portátil multimedia,Acer Aspire,15.6,39.624,Full HD,,AMD Ryzen 7 5700U,SSD,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.2,integrada,,,,,,2.0,ión-litio,"5,5 h",48.5,65 W,,,con tapa,"24,1 cm",20 mm,"36,3 cm","1,78 kg","USB-C, altavoces estéreo, webcam",,,2023.0,,1.920 x 1.080 píxeles,,60 Hz,AMD,AMD Ryzen 7,1.0,AMD,memoria compartida,Windows 11 Home,,altavoces estéreo,16:9,,,8 MB,16 GB RAM,DDR4,,512 GB,teclado iluminado,3.0,plateado,,8.0,"1,8 GHz","4,3 GHz",,,64.0,,32 GB,AMD Radeon Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,2x SO-DIMM,,,,,,,,,,,,,,,,,,,,,Laptop,478.4,774.46,626.43,,,,5.5,65.0,24.1,20.0,36.3,1.78,1920x1080,,60.0,8.0,16.0,,512.0,,1.8,4.3,,32.0,,,,,,Laptop
MSI Bravo 15,4.0,Portátil gaming,,15.6,39.624,,,,,HDMI 2.0,,"Bluetooth, LAN",Bluetooth 5.1,integrada,,,,,,,,,,,,,con tapa,"25,4 cm",22 mm,"35,9 cm","1,86 kg","USB-C, altavoces estéreo, webcam",,,2020.0,IEEE 802.11ax,,,,,,,,,,,,16:9,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1062.48,1802.71,1432.6,,,,,,25.4,22.0,35.9,1.86,,,,,,,,,,,,,,,,,,Laptop
ASUS Asus ExpertBook P1 P1403,13.0,Portátil profesional,ASUS ExpertBook,14.0,35.56,Full HD,,,SSD,HDMI 1.4,,"Bluetooth, wifi",Bluetooth 5.4,,,,teclado tipo chicle,,,,ión-litio,,50.0,,,,,,,"32,4 cm","1,43 kg",,,,,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,,1.0,Intel,memoria compartida,Windows 11 Professional,,altavoces estéreo,,,,,16 GB RAM,DDR5,,512 GB,,3.0,gris,,,,,,,64.0,,64 GB,,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,624.68,861.88,743.28,,,,,,,,32.4,1.43,1920x1080,,,,16.0,,512.0,,,,,64.0,,,,,,Laptop
"Lenovo ThinkBook 16 G7 (2024)
21MW0042SP",9.0,Portátil profesional,Lenovo ThinkBook,16.0,40.64,WUXGA,300.0,AMD Ryzen 5 7535HS,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,16 h,45.0,,,aluminio,con tapa,"25,3 cm",17 mm,"35,6 cm","1,7 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas","bloqueo Kensington, contraseña BIOS, lector de huellas digitales",sensor de huellas dactilares,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,60 Hz,AMD,AMD Ryzen 5,1.0,AMD,memoria compartida,Windows 11 Professional,SD,altavoces estéreo,16:10,,L3,16 MB,16 GB RAM,DDR5,4.800 MHz,512 GB,,,gris,,6.0,"3,3 GHz",,,,64.0,,64 GB,AMD Radeon 660M,,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,,,,Realtek ALC3287,,,,,,,,,,,Laptop,780.68,975.41,878.04,,1920x1080,,16.0,,25.3,17.0,35.6,1.7,1920x1200,,60.0,16.0,16.0,4800.0,512.0,4.0,3.3,,,64.0,,,,,,Laptop
"HP Victus 16 2024
16-r0037ns",1.0,Portátil gaming,HP Victus,16.1,40.894,Full HD,,Intel Core i7-13620H,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.3,integrada,,,,,,2.0,polímero de litio,,83.0,,,,con tapa,"25,9 cm",23 mm,"36,9 cm","2,33 kg","lector de tarjetas, webcam, altavoces estéreo, USB-C",,,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,144 Hz,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,Free DOS,,,16:9,Raptor Lake-H,L3,24 MB,32 GB RAM,DDR5,5.200 MHz,1.000 GB,teclado iluminado,6.0,azul,,10.0,"1,8 GHz","4,9 GHz",45 W,GDDR6,,,,NVIDIA GeForce RTX 4070,ninguna,ninguno,,,teclado numérico,,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,,,,,,,,,Laptop,1279.0,1279.0,1279.0,,,,,,25.9,23.0,36.9,2.33,1920x1080,,144.0,24.0,32.0,5200.0,1000.0,,1.8,4.9,45.0,,,,,,,Laptop
Samsung Galaxy Book 3 Pro 360,7.0,Portátil convertible,Samsung Galaxy Book,16.0,40.64,,400.0,,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,,76.0,,,,convertible,"25,2 cm",13 mm,"35,5 cm","1,66 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,,,,,,,,,,MicroSD,,16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convertible,,,,,,,,,,,,,,Laptop,1099.0,3432.52,2265.76,,1920x1080,,,,25.2,13.0,35.5,1.66,,,,,,,,8.0,,,,,,,,,,Laptop
"Acer Aspire 3 A315-44
A315-44P-R4W4",1.0,Portátil multimedia,Acer Aspire,15.6,39.624,,,AMD Ryzen 7 5700U,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.2,integrada,,,,,,2.0,ión-litio,"5,5 h",48.5,65 W,,,con tapa,"24,1 cm",20 mm,"36,3 cm","1,78 kg","USB-C, altavoces estéreo, webcam",,,2023.0,,1.920 x 1.080 píxeles,,60 Hz,AMD,AMD Ryzen 7,1.0,,memoria compartida,Windows 11 Home,,altavoces estéreo,16:9,Lucienne U,L3,8 MB,16 GB RAM,DDR4,,512 GB,,3.0,plateado,,8.0,"1,8 GHz","4,3 GHz",25 W,,,,,AMD Radeon Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,España,,,,,,,,,Laptop,529.0,529.0,529.0,,,,5.5,65.0,24.1,20.0,36.3,1.78,1920x1080,,60.0,8.0,16.0,,512.0,,1.8,4.3,25.0,,,,,,,Laptop
"MSI Modern 15 H AI C1
C1MG-036XES",7.0,Portátil multimedia,MSI Modern,15.6,39.624,Full HD,,Intel Core Ultra 7 155H,SSD,HDMI 2.1,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,,1280 x 720 píxeles,,,,2.0,,,53.8,90 W,,,con tapa,"24,1 cm",20 mm,"35,9 cm","1,9 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Free DOS,MicroSD,altavoces estéreo,16:9,Meteor Lake,L3,24 MB,32 GB RAM,DDR5,,1.000 GB,teclado iluminado,3.0,negro,,16.0,"1,4 GHz","4,8 GHz",115 W,,,,64 GB,Intel Arc Graphics,,ninguno,,,teclado numérico,,,,,,,2x SO-DIMM,,,,,,,,,Intel AI Boost,,,,,,,,,,,,Laptop,975.38,1054.46,1014.92,4096x2304,1280x720,,,90.0,24.1,20.0,35.9,1.9,1920x1080,,,24.0,32.0,,1000.0,4.0,1.4,4.8,115.0,64.0,,,,,,Laptop
ASUS ExpertBook B9,74.0,Portátil profesional,ASUS ExpertBook,14.0,35.56,,400.0,,,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,,,ión-litio,,66.0,,,,con tapa,"20,3 cm",15 mm,32 cm,"1,01 kg",webcam,,,2020.0,IEEE 802.11ax,,,,,,,,,,,,16:9,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1159.0,2855.95,2007.47,,,,,,20.3,15.0,32.0,1.01,,,,,,,,,,,,,,,,,,Laptop
"Lenovo V15 G3
82TT00SESP",18.0,Portátil multimedia,,15.6,39.624,Full HD,250.0,Intel Core i3-1215U,,HDMI,4 en 1,"wifi, Bluetooth, LAN",Bluetooth 5.0,integrada,,,,,teclado numérico,,ión-litio,,35.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,7 kg","USB-C, webcam, lector de tarjetas",,,2022.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,,Intel,Intel Core i3,1.0,Intel,memoria compartida,sin sistema operativo,,,16:9,Alder Lake-P,L3,10 MB,16 GB RAM,DDR4,3.200 MHz,512 GB,resistente a salpicaduras,2.0,negro,,6.0,"0,9 GHz","4,4 GHz",15 W,,,,,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,1x SO-DIMM,,,,,,,,,,,,,,,,,,,,,Laptop,369.45,490.9,430.17,,,,,65.0,23.6,20.0,35.9,1.7,1920x1080,,,10.0,16.0,3200.0,512.0,,0.9,4.4,15.0,,,,,,,Laptop
"HP 255 G10
AK9X4AT",1.0,Portátil multimedia,HP 255,15.6,39.624,Full HD,250.0,AMD Ryzen 5 7530U,SSD,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,,,,41.0,45 W,,,con tapa,"24,2 cm",20 mm,"35,8 cm","1,6 kg","USB-C, lector de tarjetas, webcam",,,2023.0,,2.560 x 1.600 píxeles,,,,,1.0,AMD,,Free DOS,,,16:9,,,,16 GB RAM,,,512 GB,,3.0,negro,,,,,,,,,,AMD Radeon Graphics,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,381.15,381.15,381.15,,1280x720,,,45.0,24.2,20.0,35.8,1.6,2560x1600,,,,16.0,,512.0,,,,,,,,,,,Laptop
"Acer Extensa 15 EX215-55
NX.EGYEG.00C",1.0,Portátil multimedia,Acer Extensa,15.6,39.624,Full HD,,Intel Core i5-1235U,SSD,HDMI 2.0,,"wifi, Bluetooth, LAN",Bluetooth 5.0,0.9 Mpx,,,,,,2.0,ión-litio,"5,5 h",40.0,45 W,no,,con tapa,"24,1 cm",20 mm,"36,3 cm","1,78 kg","altavoces estéreo, webcam",,,2023.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Professional,,altavoces estéreo,16:9,Alder Lake-P,L3,12 MB,16 GB RAM,,,512 GB,,2.0,gris,,10.0,"0,9 GHz","4,4 GHz",15 W,,64.0,,,Intel Iris Xe Graphics,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,495.99,495.99,495.99,,,,5.5,45.0,24.1,20.0,36.3,1.78,1920x1080,,,12.0,16.0,,512.0,,0.9,4.4,15.0,,,,,,,Laptop
MSI Modern 14,17.0,Portátil profesional,MSI Modern,14.0,35.56,,,,,HDMI,3 en 1,"wifi, Bluetooth",Bluetooth 5.0,integrada,,1280 x 720 píxeles,,,,,polímero de litio,10 h,50.0,65 W,,aluminio,con tapa,"22,2 cm",16 mm,"32,2 cm","1,18 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2019.0,,,,,,,,,,,,altavoces estéreo,16:9,,,,,,,,,4.0,,,,,,,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,649.0,1223.28,936.14,,1280x720,,10.0,65.0,22.2,16.0,32.2,1.18,,,,,,,,,,,,,,,,,,Laptop
ASUS Zenbook Pro 14 Duo OLED (UX8402),19.0,Portátil multimedia,,14.5,36.83,,500.0,,,,integrado,"Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,76.0,180 W,,,con tapa,"22,5 cm",20 mm,"32,4 cm","1,75 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2022.0,IEEE 802.11ax,,,,Intel,,,,,,SD,Harman Kardon,16:10,,L3,24 MB,,,,,,4.0,,,14.0,,,45 W,,64.0,,,,,,20 V,9 A,,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1999.0,2793.9,2396.45,,1280x720,,,180.0,22.5,20.0,32.4,1.75,,,,24.0,,,,,,,45.0,,20.0,9.0,,,,Laptop
Lenovo ThinkPad T14 G5,57.0,Portátil multimedia,Lenovo ThinkPad,14.0,35.56,,400.0,,,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,,2.0,polímero de litio,,52.5,65 W,,,con tapa,"22,4 cm",18 mm,"31,6 cm","1,31 kg","USB-C, altavoces estéreo, webcam",,,2024.0,IEEE 802.11ax,,,,,,,,,,,altavoces estéreo,16:10,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1142.91,2657.15,1900.03,,,,,65.0,22.4,18.0,31.6,1.31,,,,,,,,4.0,,,,,,,,,,Laptop
HP 250 G8,34.0,Portátil profesional,HP 250,15.6,39.62,,250.0,,,HDMI,3 en 1,"wifi, Bluetooth, LAN",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,12 h,41.0,45 W,,,con tapa,"24,2 cm",19 mm,"35,8 cm","1,7 kg","USB-C, lector de tarjetas, webcam",,,2020.0,IEEE 802.11ac,,,,,,,,,,,,16:9,,,,,,,,,3.0,,,,,,,,,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,490.9,1065.2,778.05,,1280x720,,12.0,45.0,24.2,19.0,35.8,1.7,,,,,,,,,,,,,,,,,,Laptop
